Symbol, Company name
TUI1.DE, TUI AG
EVOK.L, evoke plc
MEGP.L, ME Group International plc
CURY.L, Currys plc
ATG.L, Auction Technology Group plc
CRST.L, Crest Nicholson Holdings plc
MOON.L, Moonpig Group plc
DOCS.L, Dr. Martens plc
MAB.L, Mitchells & Butlers plc
AML.L, Aston Martin Lagonda global Holdings plc
JDW.L, J D Wetherspoon plc
COA.L, Coats Group plc
DNLM.L, Dunelm Group plc
PTEC.L, Playtech plc
TRN.L, Trainline Plc
DOM.L, Domino's Pizza Group plc
WOSG.L, Watches of Switzerland Group plc
PETS.L, Pets at Home Group Plc
SMWH.L, WH Smith PLC
SSPG.L, SSP Group plc
INCH.L, Inchcape plc
GRG.L, Greggs plc
VTY.L, Vistry Group PLC
BWY.L, Bellway p.l.c.
GAW.L, Games Workshop Group PLC
PSN.L, Persimmon Plc
GNC.L, Greencore Group plc
PZC.L, PZ Cussons Plc
BAG.L, A.G. BARR p.l.c.
CCR.L, C&C Group plc
HFG.L, Hilton Food Group plc
PFD.L, Premier Foods plc
CWK.L, Cranswick plc
TATE.L, Tate & Lyle plc
GDWN.L, Goodwin PLC
QQ.L, QinetiQ Group plc
ZIG.L, Zigup Plc
CWR.L, Ceres Power Holdings plc
MCG.L, Mobico Group Plc
STEM.L, SThree plc
DSCV.L, discoverIE Group plc
KLR.L, Keller Group plc
SNR.L, Senior plc
MGAM.L, Morgan Advanced Materials plc
CKN.L, Clarkson PLC
FAN.L, Volution Group plc
GEN.L, Genuit Group plc
MGNS.L, Morgan Sindall Group plc
CHG.L, Chemring Group PLC
VSVS.L, Vesuvius plc
BOY.L, Bodycote plc
FGP.L, FirstGroup plc
MTO.L, Mitie Group plc
PAGE.L, PageGroup plc
WIZZ.L, Wizz Air Holdings Plc
GFTU.L, Grafton Group plc
TPK.L, Travis Perkins plc
HAS.L, Hays plc
IDS.L, International Distribution Services plc
SRP.L, Serco Group plc
BBY.L, Balfour Beatty plc
BAB.L, Babcock International Group PLC
ROR.L, Rotork plc
EZJ.L, easyJet plc
FXPO.L, Ferrexpo plc
ESNT.L, Essentra plc
IBST.L, Ibstock plc
MSLH.L, Marshalls plc
ELM.L, Elementis plc
RHIM.L, RHI Magnesita N.V.
BREE.L, Breedon Group plc
VCT.L, Victrex plc
HILS.L, Hill & Smith PLC
JMAT.L, Johnson Matthey Plc
BP.L, BP p.l.c.
SHEL.L, Shell plc
DEC.L, Diversified Energy Company PLC
HTG.L, Hunting PLC
ITH.L, Ithaca Energy plc
HBR.L, Harbour Energy plc
ENOG.L, Energean plc
GLNG.L, Golar LNG Limited
CMRE.L, Costamare Inc.
FRO.L, Frontline plc
ZIM.L, ZIM Integrated Shipping Services Ltd.
SBLK.L, Star Bulk Carriers Corp.
NMM.L, Navios Maritime Partners L.P.
ESEA.L, Euroseas Ltd.
NAT.L, Nordic American Tankers Limited
SFL.L, SFL Corporation Ltd.
DHT.L, DHT Holdings
TNK.L, Teekay Tankers Ltd.
STNG.L, Scorpio Tankers Inc.
ASC.L, Ardmore Shipping Corporation
INSW.L, International Seaways Inc.
